resort_name,state,summit,base,vertical,lifts,runs,acres,green_percent,green_acres,blue_percent,blue_acres,black_percent,black_acres,lat,lon
"Teton Pass, MT",Montana,8600,6190,1000,3,36,114,0.45,51.3,0.35,39.9,0.2,22.8,47.97,-112.9
"The Homestead, MI",Michigan,875,500,375,5,15,16,0.25,4,0.55,8.8,0.2,3.2,42.73,-85.65
"The Homestead, VA",Virginia,3200,2500,700,5,9,45,0.34,15.3,0.33,14.85,0.33,14.85,38.15,-78.57
"The Rock, WI",Wisconsin,290,245,60,5,8,75,0.2,15,0.5,37.5,0.3,22.5,42.62,-89.01
"The Summit at Snoqualmie, WA",Washington,5420,2610,2280,25,96,1981,0.14,277.34,0.45,891.45,0.41,812.21,47.75,-120.74
"Thunder Ridge, NY",New York,,,600,7,30,100,0.4,40,0.4,40,0.2,20,41.39,-73.23
"Timber Ridge, MI ",Michigan,,,240,10,15,50,0.2,10,0.7,35,0.1,5,45.08,-85.11
"Timberline Four Seasons, WV",West Virginia,4268,3268,1000,4,37,100,0.34,34,0.32,32,0.34,34,38.61,-80.45
"Timberline, OR",Oregon,8540,4850,3690,9,41,1415,0.25,353.75,0.5,707.5,0.25,353.75,45.31,-121.74
"Titcomb Mountain, ME",Maine,750,400,350,2,16,45,0.3,13.5,0.4,18,0.3,13.5,44.65,-70.17
"Titus Mountain, NY",New York,2025,1240,1200,10,42,80,0.35,28,0.36,28.8,0.29,23.2,44.76,-74.23
"Toggenburg, NY",New York,1780,1260,520,5,21,83,0.2,16.6,0.5,41.5,0.3,24.9,42.82,-75.96
"Treetops, MI",Michigan,1345,1120,225,5,23,80,0.3,24,0.5,40,0.2,16,45,-84.62
"Trollhaugem, WI",Wisconsin,1200,940,260,10,22,90,0.29,26.1,0.43,38.7,0.28,25.2,43.79,-88.79
"Turner Mountain, MT",Montana,5952,3842,2100,1,25,1000,0.1,100,0.3,300,0.6,600,48.61,-115.67
"Tussey Mountain, PA",Pennsylvania,1810,1310,500,5,7,50,0.3,15,0.45,22.5,0.25,12.5,39.8,-78.55
"Tuxedo Ridge, NY",New York,1400,950,400,4,7,100,0.2,20,0.7,70,0.1,10,41.33,-74.12
"Tyrol Basin, WI",Wisconsin,1160,860,300,6,16,24,,0,,0,,0,43.79,-88.79
"Vail, CO",Colorado,11570,8120,3450,31,193,5289,0.18,952.02,0.29,1533.81,0.53,2803.17,39.64,-106.36
"Villa Olivia, IL",Illinois,,,180,7,7,15,0.4,6,0.5,7.5,0.1,1.5,40.63,-89.39
"Wachusett Mountain, MA",Massachusetts ,2006,990,1000,8,22,110,0.3,33,0.4,44,0.3,33,42.49,-71.88
"Warner Canyon, OR",Oregon,6000,5720,1000,1,22,200,0.51,102,0.46,92,0.03,6,42.25,-120.37
"Waterville Valley, NH",New Hampshire ,4004,1984,2020,10,52,220,0.2,44,0.6,132,0.2,44,43.96,-71.5
"Welch Village, MN",Minnesota,1060,700,360,10,60,140,0.31,43.4,0.5,70,0.19,26.6,44.56,-92.74
"West Mountain, NY",New York,1470,460,1010,8,40,124,0.36,44.64,0.55,68.2,0.09,11.16,43.38,-73.96
"Whaleback, NH",New Hampshire ,1800,1100,700,4,30,85,0.28,23.8,0.39,33.15,0.33,28.05,44.82,-71.05
"White Pass, WA",Washington,6550,4500,2050,8,47,1402,0.15,210.3,0.65,911.3,0.2,280.4,46.64,-121.39
"White Pine, WY",Wyoming,9500,8400,1100,2,25,370,0.25,92.5,0.45,166.5,0.3,111,43.7,-121.59
"Whitecap Mountains, WI",Wisconsin,1750,1350,400,9,43,500,0.33,165,0.33,165,0.34,170,43.79,-88.79
"Whiteface Mountain, NY",New York,4650,1220,3430,11,86,283,0.2,56.6,0.43,121.69,0.37,104.71,44.37,-73.89
"Whitefish Mountain, MT",Montana,6817,4464,2353,13,98,3000,0.15,450,0.35,1050,0.5,1500,48.76,-114.59
"Whitetail Mountain, PA",Pennsylvania,1800,865,935,9,23,109,0.22,23.98,0.53,57.77,0.25,27.25,41.33,-75.98
"Wild Mountain, MN",Minnesota,1113,813,300,7,25,100,0.33,33,0.34,34,0.33,33,45.48,-92.72
"Wildcat Mountain, NH",New Hampshire ,4062,1950,2112,5,49,225,0.25,56.25,0.45,101.25,0.3,67.5,44.27,-71.21
"Willamette Pass, OR",Oregon,6683,5120,1563,6,29,555,0.21,116.55,0.45,249.75,0.34,188.7,43.61,-122.03
"Willard Mountain, NY",New York,1415,910,505,4,14,85,0.3,25.5,0.4,34,0.3,25.5,43.02,-73.52
"Wilmot Mountain, WI",Wisconsin,,,230,8,25,120,0.3,36,0.3,36,0.4,48,43.79,-88.79
"Windham Mountain, NY",New York,3100,1500,1600,10,49,269,0.3,80.7,0.45,121.05,0.25,67.25,42.36,-74.29
"Winter Park, CO",Colorado,12060,9000,3060,24,142,3078,0.08,246.24,0.37,1138.86,0.55,1692.9,39.88,-105.75
"Wintergreen, VA",Virginia,3515,2512,1003,7,26,129,0.23,29.67,0.35,45.15,0.42,54.18,37.89,-78.9
"Winterplace, WV",West Virginia,3600,2997,693,11,28,90,0.41,36.9,0.44,39.6,0.15,13.5,37.88,-81.12
"Wisp, MD",Maryland,3115,2415,700,14,32,132,0.41,54.12,0.28,36.96,0.31,40.92,39.14,-76.7
"Wolf Creek, CO",Colorado,11904,10300,1604,7,77,1600,0.2,320,0.45,720,0.35,560,37.4,-106.6
"Wolf Mt, UT",Utah,6400,5400,1000,4,22,110,0.35,38.5,0.45,49.5,0.2,22,40.48,-111.02
"Wolf Ridge, NC",North Carolina,4700,4000,700,5,22,72,0.55,39.6,0.36,25.92,0.09,6.48,5.95,-82.5
"Woodbury, CT",Connecticut,850,550,300,6,15,100,0.33,33,0.34,34,0.33,33,41.55,-73.22
"Woods Valley, NY",New York,1400,900,500,3,11,25,0.2,5,0.6,15,0.2,5,43.59,-73.67
"Yawgoo, RI",Rhode Island,315,70,245,4,12,36,0.5,18,0.3,10.8,0.2,7.2,41.52,-71.57
